_id,Ticker,Company,Sector,Industry,Country,Profit Margin,Institutional Ownership,EPS growth past 5 years,Total Debt/Equity,Current Ratio,Return on Assets,P/S,Change from Open,Performance (YTD),Performance (Week),Quick Ratio,Insider Transactions,P/B,EPS growth quarter over quarter,Performance (Quarter),Forward P/E,P/E,200-Day Simple Moving Average,Shares Outstanding,Earnings Date,52-Week High,P/Cash,Change,Analyst Recom,Volatility (Week),Return on Equity,50-Day Low,Price,50-Day High,Return on Investment,Shares Float,Dividend Yield,EPS growth next 5 years,Beta,Sales growth quarter over quarter,Operating Margin,EPS (ttm),PEG,Float Short,52-Week Low,Average True Range,Sales growth past 5 years,Gap,Relative Volume,Volatility (Month),Market Cap,Volume,Gross Margin,Short Ratio,Performance (Half Year),Relative Strength Index (14),Insider Ownership,20-Day Simple Moving Average,Performance (Month),P/Free Cash Flow,Institutional Transactions,Performance (Year),LT Debt/Equity,Average Volume,EPS growth this year,50-Day Simple Moving Average,_class
ObjectId("52853800bb1177ca391c1800"),AA,Alcoa, Inc.,Basic Materials,Aluminum,USA,0.013,0.599,-0.439,0.65,1.2,0.008,0.41,-0.0022,0.0502,-0.0694,0.7,0.1031,0.75,1.143,0.1058,21.35,35.96,0.0823,1070,""2019-10-07T00:00:00.000Z"",-0.0925,9.46,0.0033,3.1,0.0345,0.023,0.1579,9.02,-0.0925,0.007,1068.5,0.0133,0.1747,2.02,-0.012,0.049,0.25,2.06,0.1129,0.1899,0.3,-0.041,0.0056,0.6,0.0336,9619.3,14600992,0.163,4.51,0.0652,49.61,0.0007,-0.0192,0.0766,33.17,0.0252,0.0963,0.6,26728.11,-0.673,0.052,com.snhu.market.model.Stocks
ObjectId("52853800bb1177ca391c17ff"),A,Agilent Technologies Inc.,Healthcare,Medical Laboratories & Research,USA,0.137,0.847,0.158,0.56,3,0.089,2.54,-0.0148,0.2605,0.0031,2.3,-0.1352,3.63,-0.29,0.0928,16.11,19.1,0.1062,339,""2013-11-14T21:30:00.000Z"",-0.0544,7.45,-0.0148,1.6,0.0177,0.182,0.0728,50.44,-0.0544,0.163,330.21,0.0094,0.0843,1.5,-0.041,0.187,2.68,2.27,0.008,0.4378,0.86,0.048,0,0.79,0.0168,17356.8,1847978,0.512,1.03,0.1439,46.51,0.001,-0.0172,0.0063,19.63,-0.0074,0.4242,0.56,2569.36,0.147,-0.0055,
ObjectId("52853800bb1177ca391c1801"),AADR,WCM/BNY Mellon Focused Growth ADR ETF,Financial,Exchange Traded Fund,USA,,,,,,,,0.0055,0.1809,-0.0134,,,,,0.061,,,0.0693,,,-0.0194,,0.0064,,0.0072,,0.0792,36.4,-0.0194,,,0.005,,,,,,,,0.2727,0.31,,0.0008,0.72,0.0052,,6660,,,0.04,51.91,,-0.0054,0.0183,,,0.229,,10.07,,0.0158,
ObjectId("52853800bb1177ca391c1802"),AAIT,iShares MSCI AC Asia Information Tech,Financial,Exchange Traded Fund,USA,,,,,,,,-0.0232,0.1048,-0.0097,,,,,0.1129,,,0.0492,,,-0.0641,,-0.02,,0.014,,0.0609,29.95,-0.0641,,,0.036,,,,,,,,0.1791,0.45,,0.0033,0.17,0.0111,,250,,0.04,0.0307,38.79,,-0.0295,0.003,,,0.1947,,1.64,,-0.0065,
ObjectId("52853800bb1177ca391c1803"),AAMC,Altisource Asset Management Corporation,Financial,Asset Management,USA,,0.153,,,,,,0.0476,6.1951,-0.0781,,0.0002,393.33,,0.7101,,,0.9846,2.35,,-0.1812,,0.0135,,0.0283,,0.8672,597.98,-0.1812,,,,,,,,-0.02,,,38.8653,30.17,,-0.0325,0.12,0.0388,1386.5,543,,8.91,0.9832,54.38,0.4634,-0.0189,0.0631,,0.1176,,,4.94,,0.1281,
ObjectId("52853800bb1177ca391c1804"),AAME,Atlantic American Corp.,Financial,Life Insurance,USA,0.056,0.05,-0.167,0.42,,0.027,0.57,-0.0025,0.316,0,,,0.87,7.667,0.0576,,10.63,0.0845,21.27,""2013-11-04T05:00:00.000Z"",-0.0382,1.82,-0.0025,,0.0239,0.082,0.0747,4.03,-0.0098,0.031,5.24,0.005,,0.72,0.274,0.078,0.38,,0.0025,0.6087,0.06,0.026,0,2.05,0.013,85.92,17754,,1.35,0.0949,46.3,0.7513,-0.0035,0.0025,35.8,-0.0009,0.4175,0.42,9.51,0.5,0.0038,
ObjectId("52853800bb1177ca391c1805"),AAN,Aaron's, Inc.,Services,Rental & Leasing Services,USA,0.06,0.98,0.204,0.12,,0.074,1.02,0,0.0658,0.0488,,0.206,1.89,-0.263,0.0949,14.02,17.11,0.0653,76.1,""2013-10-24T20:30:00.000Z"",-0.023,10.88,0.0013,2.8,0.0177,0.116,0.1508,30.15,-0.002,0.138,67.11,0.0023,0.08,1.04,0.019,0.108,1.76,2.14,0.0601,0.2264,0.49,0.098,0.0013,1.71,0.0171,2291.4,1190872,0.832,5.28,0.0517,71.11,0.005,0.043,0.0617,,0.0172,0.0255,0.12,763.14,0.573,0.0742,
ObjectId("52853800bb1177ca391c1806"),AAOI,Applied Optoelectronics, Inc.,Technology,Semiconductor - Integrated Circuits,USA,-0.023,0.114,0,,1.5,-0.048,2.3,-0.0215,0.2671,-0.0381,0.9,,,-1,,12.77,,0.0654,12.6,,-0.0904,16.23,-0.0269,1.8,0.0377,0.043,0.3539,12.28,-0.0904,-0.004,11.46,,,,0.256,-0.007,-0.13,,0.0011,0.3539,0.63,,-0.0055,0.12,0.0608,159.06,12203,0.292,0.12,,,0.021,-0.0251,0.2397,,,,,110.95,0.833,0.0654,
ObjectId("52853800bb1177ca391c1807"),AAON,AAON Inc.,Industrial Goods,General Building Materials,USA,0.105,0.581,0.065,0,2.3,0.163,4.78,0.019,0.956,-0.056,1.6,0.0024,9.79,-0.12,0.0944,24.01,34.78,0.2614,55.14,""2013-11-07T21:30:00.000Z"",-0.054,49.53,0.016,3,0.0558,0.229,0.1558,27.57,-0.054,0.198,28.02,0.0048,0.1,1.2,0.095,0.158,0.78,3.48,0.0369,1.2639,1.07,0.029,-0.0029,0.53,0.0381,1495.92,43938,0.252,11.42,0.317,54.09,0.203,0.0057,0.0044,35.36,0.0094,1.1312,0,90.54,1,0.0389,
ObjectId("52853800bb1177ca391c1808"),AAP,Advance Auto Parts Inc.,Services,Auto Parts Stores,USA,0.063,0.971,0.18,0.41,1.3,0.085,1.13,-0.0067,0.3808,0.0119,0.3,-0.036,4.94,0.174,0.2183,14.45,18.03,0.1903,72.75,""2013-10-31T12:30:00.000Z"",-0.038,12.78,-0.0077,2.3,0.0182,0.306,0.2545,98.92,-0.038,0.231,72.26,0.0024,0.13,0.34,0.043,0.106,5.53,1.39,0.0342,0.4159,2.11,0.051,-0.001,0.32,0.0189,7251.42,220670,0.501,3.3,0.1687,62.29,0.007,-0.0031,0.2082,21.1,0.0089,0.2613,0.41,749.1,0.022,0.1151,
